#format table ## [Custom WaveView] saved 05:23:05 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 4.830E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 1.281E+00 
 4.880E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.810E-06 
 4.930E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 1.281E+00 
 4.980E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 5.030E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 1.281E+00 
 5.080E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 5.130E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 6.157E-03 , 1.281E+00 
 5.180E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.815E-06 
 5.230E-03 , 1.623E-02 , 1.623E-02 , 1.623E-02 , 1.623E-02 , 1.623E-02 , 1.623E-02 
 5.280E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 5.330E-03 , 6.158E-03 , 6.158E-03 , 6.158E-03 , 6.158E-03 , 6.158E-03 , 1.281E+00 
 5.380E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.804E-06 
 5.430E-03 , 6.158E-03 , 6.158E-03 , 6.158E-03 , 6.158E-03 , 6.158E-03 , 1.281E+00 
 5.480E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 5.530E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 6.159E-03 , 1.281E+00 
 5.580E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
